port1,port2,port3,port4
2.77,0.00,0.00,0.00
2.85,0.00,0.00,0.00
2.81,0.00,0.00,0.00
1.21,0.00,0.00,0.00
1.33,0.00,0.00,0.00
6.42,0.00,0.00,0.00
-0.27,0.00,0.00,0.00
7.44,0.00,0.00,0.00
1.63,0.00,0.00,0.00
2.25,0.00,0.00,0.00
2.32,0.00,0.00,0.00
2.27,0.00,0.00,0.00
5.02,0.00,0.00,0.00
-1.31,0.00,0.00,0.00
5.58,0.00,0.00,0.00
6.45,0.00,0.00,0.00
0.19,0.00,0.00,0.00
3.56,0.00,0.00,0.00
2.37,0.00,0.00,0.00
3.21,0.00,0.00,0.00
2.74,0.00,0.00,0.00
0.95,0.00,0.00,0.00
7.36,0.00,0.00,0.00
0.66,0.00,0.00,0.00
3.05,0.00,0.00,0.00
-0.25,0.00,0.00,0.00
2.96,0.00,0.00,0.00
2.17,0.00,0.00,0.00
2.31,0.00,0.00,0.00
3.30,0.00,0.00,0.00
-1.74,0.00,0.00,0.00
-1.18,0.00,0.00,0.00
-0.71,0.00,0.00,0.00
7.69,0.00,0.00,0.00
6.41,0.00,0.00,0.00
3.38,0.00,0.00,0.00
2.50,0.00,0.00,0.00
2.69,0.00,0.00,0.00
2.75,0.00,0.00,0.00
1.65,0.00,0.00,0.00
7.63,0.00,0.00,0.00
0.37,0.00,0.00,0.00
-0.10,0.00,0.00,0.00
6.90,0.00,0.00,0.00
1.94,0.00,0.00,0.00
3.05,0.00,0.00,0.00
2.71,0.00,0.00,0.00
1.70,0.00,0.00,0.00
4.07,0.00,0.00,0.00
-1.61,0.00,0.00,0.00
6.71,0.00,0.00,0.00
-1.15,0.00,0.00,0.00
7.02,0.00,0.00,0.00
2.23,0.00,0.00,0.00
2.70,0.00,0.00,0.00
2.33,0.00,0.00,0.00
2.23,0.00,0.00,0.00
1.52,0.00,0.00,0.00
7.94,0.00,0.00,0.00
6.88,0.00,0.00,0.00
6.96,0.00,0.00,0.00
7.71,0.00,0.00,0.00
3.29,0.00,0.00,0.00
2.24,0.00,0.00,0.00
2.08,0.00,0.00,0.00
3.17,0.00,0.00,0.00
-1.94,0.00,0.00,0.00
-2.91,0.00,0.00,0.00
-1.10,0.00,0.00,0.00
6.61,0.00,0.00,0.00
-0.13,0.00,0.00,0.00
3.61,0.00,0.00,0.00
2.57,0.00,0.00,0.00
2.72,0.00,0.00,0.00
2.32,0.00,0.00,0.00
1.41,0.00,0.00,0.00
0.94,0.00,0.00,0.00
6.55,0.00,0.00,0.00
-0.12,0.00,0.00,0.00
6.88,0.00,0.00,0.00
3.23,0.00,0.00,0.00
2.29,0.00,0.00,0.00
2.64,0.00,0.00,0.00
2.78,0.00,0.00,0.00
-1.93,0.00,0.00,0.00
4.21,0.00,0.00,0.00
-0.10,0.00,0.00,0.00
-1.19,0.00,0.00,0.00
6.69,0.00,0.00,0.00
3.60,0.00,0.00,0.00
2.56,0.00,0.00,0.00
2.86,0.00,0.00,0.00
2.45,0.00,0.00,0.00
0.57,0.00,0.00,0.00
0.81,0.00,0.00,0.00
0.14,0.00,0.00,0.00
0.14,0.00,0.00,0.00
-1.52,0.00,0.00,0.00
1.82,0.00,0.00,0.00
2.23,0.00,0.00,0.00
2.34,0.00,0.00,0.00
2.26,0.00,0.00,0.00
-2.07,0.00,0.00,0.00
4.69,0.00,0.00,0.00
6.32,0.00,0.00,0.00
-1.46,0.00,0.00,0.00
6.37,0.00,0.00,0.00
2.36,0.00,0.00,0.00
2.50,0.00,0.00,0.00
2.75,0.00,0.00,0.00
2.78,0.00,0.00,0.00
1.47,0.00,0.00,0.00
7.81,0.00,0.00,0.00
6.42,0.00,0.00,0.00
6.53,0.00,0.00,0.00
6.15,0.00,0.00,0.00
2.96,0.00,0.00,0.00
2.81,0.00,0.00,0.00
3.00,0.00,0.00,0.00
1.51,0.00,0.00,0.00
4.34,0.00,0.00,0.00
-1.99,0.00,0.00,0.00
0.20,0.00,0.00,0.00
0.39,0.00,0.00,0.00
-0.22,0.00,0.00,0.00
1.69,0.00,0.00,0.00
2.20,0.00,0.00,0.00
2.77,0.00,0.00,0.00
3.11,0.00,0.00,0.00
1.38,0.00,0.00,0.00
7.98,0.00,0.00,0.00
0.68,0.00,0.00,0.00
-0.11,0.00,0.00,0.00
6.20,0.00,0.00,0.00
1.61,0.00,0.00,0.00
2.16,0.00,0.00,0.00
2.38,0.00,0.00,0.00
2.21,0.00,0.00,0.00
-1.93,0.00,0.00,0.00
4.02,0.00,0.00,0.00
-0.15,0.00,0.00,0.00
6.73,0.00,0.00,0.00
-0.23,0.00,0.00,0.00
1.55,0.00,0.00,0.00
3.29,0.00,0.00,0.00
2.89,0.00,0.00,0.00
2.16,0.00,0.00,0.00
7.90,0.00,0.00,0.00
1.66,0.00,0.00,0.00
0.12,0.00,0.00,0.00
7.39,0.00,0.00,0.00
-0.07,0.00,0.00,0.00
3.49,0.00,0.00,0.00
2.81,0.00,0.00,0.00
2.64,0.00,0.00,0.00
2.28,0.00,0.00,0.00
-1.90,0.00,0.00,0.00
-2.28,0.00,0.00,0.00
-1.40,0.00,0.00,0.00
1.95,0.00,0.00,0.00
-0.52,0.00,0.00,0.00
3.62,0.00,0.00,0.00
2.81,0.00,0.00,0.00
2.83,0.00,0.00,0.00
2.52,0.00,0.00,0.00
0.43,0.00,0.00,0.00
7.93,0.00,0.00,0.00
6.94,0.00,0.00,0.00
1.61,0.00,0.00,0.00
-0.56,0.00,0.00,0.00
1.58,0.00,0.00,0.00
2.67,0.00,0.00,0.00
