port1,port2,port3,port4
-0.94,0.00,0.00,0.00
-2.29,0.00,0.00,0.00
-2.47,0.00,0.00,0.00
-1.82,0.00,0.00,0.00
-0.59,0.00,0.00,0.00
0.84,0.00,0.00,0.00
1.99,0.00,0.00,0.00
2.50,0.00,0.00,0.00
2.18,0.00,0.00,0.00
1.14,0.00,0.00,0.00
-0.26,0.00,0.00,0.00
-1.58,0.00,0.00,0.00
-2.38,0.00,0.00,0.00
-2.41,0.00,0.00,0.00
-1.63,0.00,0.00,0.00
-0.34,0.00,0.00,0.00
1.08,0.00,0.00,0.00
2.14,0.00,0.00,0.00
2.50,0.00,0.00,0.00
2.04,0.00,0.00,0.00
0.90,0.00,0.00,0.00
-0.53,0.00,0.00,0.00
-1.77,0.00,0.00,0.00
-2.45,0.00,0.00,0.00
-2.32,0.00,0.00,0.00
-1.43,0.00,0.00,0.00
-0.06,0.00,0.00,0.00
1.31,0.00,0.00,0.00
2.26,0.00,0.00,0.00
2.48,0.00,0.00,0.00
1.87,0.00,0.00,0.00
0.67,0.00,0.00,0.00
-0.76,0.00,0.00,0.00
-1.94,0.00,0.00,0.00
-2.49,0.00,0.00,0.00
-2.22,0.00,0.00,0.00
-1.22,0.00,0.00,0.00
0.18,0.00,0.00,0.00
1.51,0.00,0.00,0.00
2.35,0.00,0.00,0.00
2.43,0.00,0.00,0.00
1.70,0.00,0.00,0.00
0.43,0.00,0.00,0.00
-0.97,0.00,0.00,0.00
-2.08,0.00,0.00,0.00
-2.50,0.00,0.00,0.00
-2.09,0.00,0.00,0.00
-0.99,0.00,0.00,0.00
0.44,0.00,0.00,0.00
1.71,0.00,0.00,0.00
2.43,0.00,0.00,0.00
2.35,0.00,0.00,0.00
1.50,0.00,0.00,0.00
0.18,0.00,0.00,0.00
-1.20,0.00,0.00,0.00
-2.21,0.00,0.00,0.00
-2.49,0.00,0.00,0.00
-1.94,0.00,0.00,0.00
-0.76,0.00,0.00,0.00
0.67,0.00,0.00,0.00
1.87,0.00,0.00,0.00
2.47,0.00,0.00,0.00
2.27,0.00,0.00,0.00
1.31,0.00,0.00,0.00
-0.06,0.00,0.00,0.00
-1.41,0.00,0.00,0.00
-2.31,0.00,0.00,0.00
-2.46,0.00,0.00,0.00
-1.78,0.00,0.00,0.00
-0.53,0.00,0.00,0.00
0.90,0.00,0.00,0.00
2.03,0.00,0.00,0.00
2.50,0.00,0.00,0.00
2.14,0.00,0.00,0.00
1.10,0.00,0.00,0.00
-0.32,0.00,0.00,0.00
-1.62,0.00,0.00,0.00
-2.40,0.00,0.00,0.00
-2.39,0.00,0.00,0.00
-1.58,0.00,0.00,0.00
-0.26,0.00,0.00,0.00
1.15,0.00,0.00,0.00
2.17,0.00,0.00,0.00
2.50,0.00,0.00,0.00
2.00,0.00,0.00,0.00
0.84,0.00,0.00,0.00
-0.58,0.00,0.00,0.00
-1.81,0.00,0.00,0.00
-2.46,0.00,0.00,0.00
-2.30,0.00,0.00,0.00
-1.38,0.00,0.00,0.00
-0.00,0.00,0.00,0.00
1.36,0.00,0.00,0.00
2.28,0.00,0.00,0.00
2.47,0.00,0.00,0.00
1.83,0.00,0.00,0.00
0.61,0.00,0.00,0.00
