port1,port2,port3,port4
-7.59,0.00,0.00,0.00
-7.60,0.00,0.00,0.00
-7.62,0.00,0.00,0.00
-7.65,0.00,0.00,0.00
-7.68,0.00,0.00,0.00
-7.70,0.00,0.00,0.00
-7.72,0.00,0.00,0.00
-7.73,0.00,0.00,0.00
-7.73,0.00,0.00,0.00
-7.72,0.00,0.00,0.00
-7.70,0.00,0.00,0.00
-7.69,0.00,0.00,0.00
-7.66,0.00,0.00,0.00
-7.64,0.00,0.00,0.00
-7.61,0.00,0.00,0.00
-7.59,0.00,0.00,0.00
-7.56,0.00,0.00,0.00
-7.58,0.00,0.00,0.00
-7.58,0.00,0.00,0.00
-7.60,0.00,0.00,0.00
-7.62,0.00,0.00,0.00
-7.65,0.00,0.00,0.00
-7.68,0.00,0.00,0.00
-7.71,0.00,0.00,0.00
-7.72,0.00,0.00,0.00
-7.73,0.00,0.00,0.00
-7.74,0.00,0.00,0.00
-7.73,0.00,0.00,0.00
-7.71,0.00,0.00,0.00
-7.69,0.00,0.00,0.00
-7.66,0.00,0.00,0.00
-7.64,0.00,0.00,0.00
-7.62,0.00,0.00,0.00
-7.60,0.00,0.00,0.00
-7.57,0.00,0.00,0.00
-7.55,0.00,0.00,0.00
-7.53,0.00,0.00,0.00
-7.52,0.00,0.00,0.00
-7.47,0.00,0.00,0.00
-7.38,0.00,0.00,0.00
-7.22,0.00,0.00,0.00
-7.03,0.00,0.00,0.00
-6.73,0.00,0.00,0.00
-6.42,0.00,0.00,0.00
-6.21,0.00,0.00,0.00
-6.18,0.00,0.00,0.00
-6.35,0.00,0.00,0.00
-6.64,0.00,0.00,0.00
-6.90,0.00,0.00,0.00
-6.97,0.00,0.00,0.00
-6.80,0.00,0.00,0.00
-6.38,0.00,0.00,0.00
-5.93,0.00,0.00,0.00
-5.64,0.00,0.00,0.00
-5.58,0.00,0.00,0.00
-5.71,0.00,0.00,0.00
-5.96,0.00,0.00,0.00
-6.25,0.00,0.00,0.00
-6.52,0.00,0.00,0.00
-6.68,0.00,0.00,0.00
-6.53,0.00,0.00,0.00
-6.11,0.00,0.00,0.00
-5.54,0.00,0.00,0.00
-5.03,0.00,0.00,0.00
-4.78,0.00,0.00,0.00
-4.89,0.00,0.00,0.00
-5.32,0.00,0.00,0.00
-5.92,0.00,0.00,0.00
-6.51,0.00,0.00,0.00
-6.91,0.00,0.00,0.00
-7.06,0.00,0.00,0.00
-6.88,0.00,0.00,0.00
-6.39,0.00,0.00,0.00
-5.67,0.00,0.00,0.00
-4.80,0.00,0.00,0.00
-3.91,0.00,0.00,0.00
-3.27,0.00,0.00,0.00
-3.09,0.00,0.00,0.00
