port1,port2,port3,port4
7.29,0.00,0.00,0.00
-0.47,0.00,0.00,0.00
-1.01,0.00,0.00,0.00
3.20,0.00,0.00,0.00
2.98,0.00,0.00,0.00
2.27,0.00,0.00,0.00
5.55,0.00,0.00,0.00
-2.94,0.00,0.00,0.00
4.54,0.00,0.00,0.00
0.11,0.00,0.00,0.00
7.41,0.00,0.00,0.00
-0.48,0.00,0.00,0.00
3.17,0.00,0.00,0.00
2.73,0.00,0.00,0.00
2.69,0.00,0.00,0.00
0.90,0.00,0.00,0.00
7.87,0.00,0.00,0.00
1.20,0.00,0.00,0.00
-0.17,0.00,0.00,0.00
6.65,0.00,0.00,0.00
3.55,0.00,0.00,0.00
3.23,0.00,0.00,0.00
3.16,0.00,0.00,0.00
3.12,0.00,0.00,0.00
4.79,0.00,0.00,0.00
3.88,0.00,0.00,0.00
-1.47,0.00,0.00,0.00
-0.55,0.00,0.00,0.00
-0.39,0.00,0.00,0.00
6.80,0.00,0.00,0.00
2.47,0.00,0.00,0.00
2.55,0.00,0.00,0.00
2.55,0.00,0.00,0.00
-0.09,0.00,0.00,0.00
1.65,0.00,0.00,0.00
1.26,0.00,0.00,0.00
0.02,0.00,0.00,0.00
0.46,0.00,0.00,0.00
6.18,0.00,0.00,0.00
2.89,0.00,0.00,0.00
3.33,0.00,0.00,0.00
2.72,0.00,0.00,0.00
5.36,0.00,0.00,0.00
-1.96,0.00,0.00,0.00
4.26,0.00,0.00,0.00
-0.49,0.00,0.00,0.00
-0.22,0.00,0.00,0.00
6.35,0.00,0.00,0.00
2.40,0.00,0.00,0.00
2.55,0.00,0.00,0.00
2.72,0.00,0.00,0.00
7.16,0.00,0.00,0.00
1.37,0.00,0.00,0.00
1.28,0.00,0.00,0.00
0.55,0.00,0.00,0.00
6.93,0.00,0.00,0.00
-0.67,0.00,0.00,0.00
2.92,0.00,0.00,0.00
2.28,0.00,0.00,0.00
2.79,0.00,0.00,0.00
1.67,0.00,0.00,0.00
-2.09,0.00,0.00,0.00
4.35,0.00,0.00,0.00
-0.63,0.00,0.00,0.00
6.58,0.00,0.00,0.00
5.79,0.00,0.00,0.00
3.42,0.00,0.00,0.00
2.71,0.00,0.00,0.00
2.77,0.00,0.00,0.00
1.14,0.00,0.00,0.00
1.76,0.00,0.00,0.00
7.69,0.00,0.00,0.00
6.81,0.00,0.00,0.00
-0.10,0.00,0.00,0.00
1.86,0.00,0.00,0.00
1.92,0.00,0.00,0.00
1.56,0.00,0.00,0.00
3.27,0.00,0.00,0.00
-1.74,0.00,0.00,0.00
-2.13,0.00,0.00,0.00
4.30,0.00,0.00,0.00
6.04,0.00,0.00,0.00
6.56,0.00,0.00,0.00
7.88,0.00,0.00,0.00
2.29,0.00,0.00,0.00
2.53,0.00,0.00,0.00
2.70,0.00,0.00,0.00
0.88,0.00,0.00,0.00
1.36,0.00,0.00,0.00
7.35,0.00,0.00,0.00
