port1,port2,port3,port4
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.22,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.22,0.00,0.00,0.00
1.24,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
2.87,0.00,0.00,0.00
0.95,0.00,0.00,0.00
1.76,0.00,0.00,0.00
1.27,0.00,0.00,0.00
7.63,0.00,0.00,0.00
7.45,0.00,0.00,0.00
-0.57,0.00,0.00,0.00
2.01,0.00,0.00,0.00
2.45,0.00,0.00,0.00
2.89,0.00,0.00,0.00
4.50,0.00,0.00,0.00
3.96,0.00,0.00,0.00
-2.47,0.00,0.00,0.00
6.18,0.00,0.00,0.00
7.28,0.00,0.00,0.00
-0.68,0.00,0.00,0.00
2.37,0.00,0.00,0.00
2.70,0.00,0.00,0.00
2.72,0.00,0.00,0.00
7.10,0.00,0.00,0.00
8.80,0.00,0.00,0.00
7.52,0.00,0.00,0.00
6.66,0.00,0.00,0.00
6.97,0.00,0.00,0.00
7.10,0.00,0.00,0.00
2.08,0.00,0.00,0.00
2.34,0.00,0.00,0.00
2.25,0.00,0.00,0.00
-2.65,0.00,0.00,0.00
-3.24,0.00,0.00,0.00
4.84,0.00,0.00,0.00
6.85,0.00,0.00,0.00
6.64,0.00,0.00,0.00
7.43,0.00,0.00,0.00
3.11,0.00,0.00,0.00
2.54,0.00,0.00,0.00
2.56,0.00,0.00,0.00
7.30,0.00,0.00,0.00
1.45,0.00,0.00,0.00
7.94,0.00,0.00,0.00
0.69,0.00,0.00,0.00
7.12,0.00,0.00,0.00
-0.40,0.00,0.00,0.00
2.17,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.23,0.00,0.00,0.00
1.21,0.00,0.00,0.00
1.23,0.00,0.00,0.00
